Time,SMA
1724606040,2764.15
1724606340,2764.41
1724606640,2764.52
1724606940,2764.82
1724607240,2765.15
1724607540,2765.59
1724607900,2765.57
1724608200,2765.92
1724608500,2766.22
1724608800,2766.5
1724609100,2766.79
1724609400,2766.98
1724609760,2767.28
1724610120,2767.51
1724610480,2767.81
1724610780,2768.06
1724611080,2768.38
1724611380,2768.77
1724611680,2768.72
1724611980,2768.42
1724612280,2768.24
1724612580,2768.05
1724612880,2768.02
1724613180,2767.89
1724613540,2767.65
1724613840,2767.2
1724614140,2766.93
1724614440,2766.62
1724614740,2766.2
1724615040,2766.01
1724615340,2765.9
1724615640,2765.82
1724615940,2765.7
1724616240,2765.71
1724616540,2765.73
1724616900,2765.6
1724617200,2765.42
1724617500,2765.18
1724617800,2765.52
1724618100,2765.82
1724618400,2766.17
1724618700,2766.52
1724619000,2766.79
1724619300,2767.08
1724619600,2767.34
1724619900,2768.14
1724620200,2768.89
1724620500,2769.9
1724620800,2770.99
1724621100,2772.13
1724621400,2773.1
1724621700,2773.81
1724622060,2774.31
1724622360,2774.85
1724622660,2775.4
1724622960,2776.18
1724623260,2776.93
1724623620,2777.89
1724623980,2778.46
1724624280,2778.78
1724624580,2778.82
1724624940,2778.82
1724625240,2778.7
1724625540,2778.61
1724625900,2778.51
1724626200,2777.93
1724626500,2777.53
1724626800,2777.14
1724627100,2776.52
1724627400,2775.96
1724627700,2774.96
1724628000,2774.39
1724628300,2773.96
1724628600,2773.32
1724628900,2772.36
1724629200,2770.98
1724629500,2769.13
1724629920,2767.21
1724630220,2765.63
1724630520,2764.6
1724630820,2763.86
1724631120,2762.93
1724631420,2762.07
1724631720,2761.47
1724632020,2760.95
1724632320,2760.45
1724632620,2759.56
1724632980,2758.39
1724633280,2757.18
1724633580,2755.94
1724633880,2755.31
1724634180,2754.27
1724634540,2753.63
1724634900,2753.08
1724635200,2752.74
1724635500,2752.83
1724635800,2753.14
1724636100,2753.28
1724636460,2753.23
1724636760,2752.68
1724637060,2752.02
